details,size,name,score,user_num
2018款 1.5T T3 智行版,中型车,沃尔沃S60L,,
2017款 2.0T T5 智驭版,中型车,沃尔沃S60L,4.42分,52
2018款 2.0T T5 智越版,中型车,沃尔沃S60L,,
2017款 2.0T T4 智远版,中型车,沃尔沃S60L,4.52分,91
2018款 2.0T T4 智远版,中型车,沃尔沃S60L,,
2017款 1.5T T3 智行版,中型车,沃尔沃S60L,4.44分,23
2017款 2.0T T6 智逸版 5座,中大型SUV,沃尔沃XC90,4.54分,13
2018款 2.0T T6 智尊版 7座,中大型SUV,沃尔沃XC90,,
2017款 Cross Country 2.0T T5 AWD,中型车,沃尔沃V60,4.13分,4
2017款 2.0T Polestar,中型车,沃尔沃S60,,
2017款 2.0T T5 AWD 个性运动升级版,中型SUV,沃尔沃XC60,3.90分,4
2017款 2.0T T5 智尊版,中大型车,沃尔沃S90,4.54分,28
2017款 2.0T T5 智雅版,中大型车,沃尔沃S90,4.58分,35
2017款 2.0T T4 智远版,中大型车,沃尔沃S90,4.58分,140
2017款 2.0T T4 智逸版,中大型车,沃尔沃S90,4.59分,27
2017款 2.0T T5 AWD 智远升级版,中型SUV,沃尔沃XC60,4.58分,30
2017款 2.0T T5 AWD 智进升级版,中型SUV,沃尔沃XC60,4.58分,16
2017款 2.0T T5 智进升级版,中型SUV,沃尔沃XC60,4.49分,11
2017款 2.0T T5 智行升级版,中型SUV,沃尔沃XC60,4.50分,11
2017款 1.5T T3 智逸版,紧凑型车,沃尔沃V40,4.29分,30
2017款 1.5T T3 智尚版,紧凑型车,沃尔沃V40,4.71分,7
2015款 2.0T T5 个性运动版,中型车,沃尔沃S60,4.38分,9
2017款 2.0T T5 个性运动版,中型车,沃尔沃S60,,
2017款 2.0T T5 智逸版,中型车,沃尔沃V60,4.48分,10
2018款 2.0T T6 智雅版 7座,中大型SUV,沃尔沃XC90,,
2018款 2.0T T6 智逸版 5座,中大型SUV,沃尔沃XC90,,
2018款 2.0T T5 智逸版 5座,中大型SUV,沃尔沃XC90,,
2018款 1.5T T3 智进版,中型车,沃尔沃S60L,4.75分,1
