name,size,details,score,user_num
沃尔沃S60L,中型车,2018款 1.5T T3 智行版,,
沃尔沃S60L,中型车,2017款 2.0T T5 智越版,4.43分,4
沃尔沃S60L,中型车,2017款 2.0T T5 智驭版,4.43分,53
沃尔沃S60L,中型车,2018款 2.0T T5 智越版,,
沃尔沃S60L,中型车,2018款 2.0T T5 智驭版,,
沃尔沃S60L,中型车,2017款 2.0T T4 智远版,4.52分,91
沃尔沃S60L,中型车,2018款 2.0T T4 智远版,4.50分,1
沃尔沃S60L,中型车,2017款 1.5T T3 智进版,4.44分,180
沃尔沃S60L,中型车,2017款 1.5T T3 智行版,4.44分,23
沃尔沃V40,紧凑型车,2017款 Cross Country 2.0T T5 AWD 智雅版,4.25分,1
沃尔沃V40,紧凑型车,2017款 2.0T T4 智雅版,,
沃尔沃XC60,中型SUV,2017款 2.0T T5 AWD 智远升级版,4.58分,30
沃尔沃XC60,中型SUV,2017款 2.0T T5 AWD 智进升级版,4.58分,17
沃尔沃XC60,中型SUV,2017款 2.0T T5 智进升级版,4.49分,12
沃尔沃XC60,中型SUV,2017款 2.0T T5 智行升级版,4.50分,11
沃尔沃S60L新能源,中型车,2015款 E驱混动 2.0T 智越版,4.57分,6
沃尔沃XC90,中大型SUV,2017款 2.0T T6 智尊版 5座,4.52分,16
沃尔沃V90,中大型车,2017款 Cross Country T5 AWD 智尊版,4.75分,3
沃尔沃S60,中型车,2017款 2.0T Polestar,,
沃尔沃S60,中型车,2017款 2.0T T5 个性运动版,,
沃尔沃V60,中型车,2017款 2.0T T5 智雅版,4.38分,15
沃尔沃V60,中型车,2017款 2.0T T5 智逸版,4.48分,10
沃尔沃V60,中型车,2017款 2.0T T4 智尚版,4.51分,14
沃尔沃V90,中大型车,2017款 Cross Country T5 AWD 智远版,4.88分,2
沃尔沃XC90,中大型SUV,2018款 2.0T T6 智尊版 7座,,
沃尔沃XC90,中大型SUV,2018款 2.0T T6 智雅版 7座,,
沃尔沃XC90,中大型SUV,2018款 2.0T T6 智逸版 5座,,
沃尔沃XC90,中大型SUV,2017款 2.0T T5 智逸版 5座,4.57分,10
沃尔沃XC90,中大型SUV,2018款 2.0T T5 智逸版 5座,,
沃尔沃XC90新能源,中大型SUV,2017款 E驱混动 2.0T T8 个性运动版 7座,,
沃尔沃S60L新能源,中型车,2015款 E驱混动 2.0T 智驭版,4.48分,16
沃尔沃S90,中大型车,2017款 2.0T T5 智尊版,4.54分,28
沃尔沃S90,中大型车,2017款 2.0T T5 智雅版,4.58分,35
沃尔沃S90,中大型车,2017款 2.0T T5 智远版,4.60分,57
沃尔沃S90,中大型车,2017款 2.0T T4 智远版,4.58分,142
沃尔沃S90,中大型车,2017款 2.0T T4 智逸版,4.56分,28
沃尔沃V40,紧凑型车,2017款 Cross Country 1.5T T3 智雅版,4.45分,4
沃尔沃V40,紧凑型车,2017款 1.5T T3 智雅版,4.29分,17
沃尔沃V40,紧凑型车,2017款 1.5T T3 智逸版,4.33分,31
沃尔沃V40,紧凑型车,2017款 1.5T T3 智尚版,4.74分,8
沃尔沃S60L,中型车,2018款 1.5T T3 智进版,4.83分,2
